id,artikul_wb,nazvanie_kratkoe,kategoriya,artikul_prodavca_osnovnoy,alternativnye_nazvaniya,wb,ozon,ym,megamarket,letual,zya,dop_artikuly_1,kod_nomenklatury_zya,dop_artikuly_2,nazvanie_wb_korrektnoe,artikul_yam,nazvanie_yam,ishodnyy_status_kommentariy,poiskovaya_stroka
95,166089878,DOCTOR Маска 200 мл,Домашка,маска_Doctor,DOCTOR Маска 200 мл,4657784320228,4657784320228,4657784320228,4657784320228,4657784320228,4657784320228,маска_Doctor,19000233172,маска_Doctor,JKeratin Doctor Nutrition Маска для питания и блеска волос,103197635052,"JKeratin Маска для волос Doctor Nutrition для глубокого питания и блеска волос, 200 мл",Нет,"166089878 | DOCTOR Маска 200 мл | Домашка | маска_Doctor | DOCTOR Маска 200 мл | JKeratin Doctor Nutrition Маска для питания и блеска волос | 103197635052 | JKeratin Маска для волос Doctor Nutrition для глубокого питания и блеска волос, 200 мл"
96,64897905,Масло (100 мл ) - для увлажнения волос и предотвращения секущихся кончиков,Домашка,Oil_100,Масло (100 мл ) - для увлажнения волос и предотвращения секущихся кончиков,4627149058318,4627149058318,4627149058318,4627149058318,4627149058318,4627149058318,Oil_100,19000275840,Oil_100,"JKeratin Масло Oil для увлажнения и питания волос, 100 мл",102208523628,"JKeratin Масло Oil - увлажнение волос и предотвращение появления секущихся кончиков, 100 мл",Нет,"64897905 | Масло (100 мл ) - для увлажнения волос и предотвращения секущихся кончиков | Домашка | Oil_100 | Масло (100 мл ) - для увлажнения волос и предотвращения секущихся кончиков | JKeratin Масло Oil для увлажнения и питания волос, 100 мл | 102208523628 | JKeratin Масло Oil - увлажнение волос и предотвращение появления секущихся кончиков, 100 мл"
97,64297941,масло 2*10 мл,Домашка,Oil_2x10,Масло (10 мл ) - для увлажнения волос и предотвращения секущихся кончиков,4648536625302,4648536625302,4648536625302,4648536625302,4648536625302,4648536625302,Oil_2x10,,Oil_2x10,"JKeratin Масло Oil для увлажнения и питания волос, 2х10 мл",103197635046,"JKeratin Масло Oil - увлажнение волос и предотвращение появления секущихся кончиков, набор 2х10 мл",Нет,"64297941 | масло 2*10 мл | Домашка | Oil_2x10 | Масло (10 мл ) - для увлажнения волос и предотвращения секущихся кончиков | JKeratin Масло Oil для увлажнения и питания волос, 2х10 мл | 103197635046 | JKeratin Масло Oil - увлажнение волос и предотвращение появления секущихся кончиков, набор 2х10 мл"
98,,масло 12*10 мл,Домашка,Oil_12x10,масло 12*10 мл,4657784320167,4657784320167,4657784320167,,4657784320167,4657784320167,Oil_12x10,,Oil_12x10,"JKeratin Масло Oil для увлажнения и питания волос, 12х10 мл",103197635049,"JKeratin Масло Oil - увлажнение волос и предотвращение появления секущихся кончиков, набор 12х10 мл",Нет,"масло 12*10 мл | Домашка | Oil_12x10 | масло 12*10 мл | JKeratin Масло Oil для увлажнения и питания волос, 12х10 мл | 103197635049 | JKeratin Масло Oil - увлажнение волос и предотвращение появления секущихся кончиков, набор 12х10 мл"
99,99680409,Термоспрей (100 мл) - от неблагоприятных факторов внешней среды,Домашка,TermoSpray,Термоспрей (100 мл) - от неблагоприятных факторов внешней среды,4627149058325,4627149058325,4627149058325,4627149058325,4627149058325,4627149058325,TermoSpray,19000233216,TermoSpray,JKeratin Термозащита Thermo Spray для волос 100мл,103197802898,"Термозащита Thermo Spray - защита волос от неблагоприятных факторов внешней среды и высоких температур, 100 мл",Нет,"99680409 | Термоспрей (100 мл) - от неблагоприятных факторов внешней среды | Домашка | TermoSpray | Термоспрей (100 мл) - от неблагоприятных факторов внешней среды | JKeratin Термозащита Thermo Spray для волос 100мл | 103197802898 | Термозащита Thermo Spray - защита волос от неблагоприятных факторов внешней среды и высоких температур, 100 мл"
100,271713205,"Маска Total Miracle 10 in 1, 50 мл",Домашка,TotalMiracle50,Total Miracle Маска-концентрат 50 мл,4657784320693,4657784320693,4657784320693,4657784320693,4657784320693,4657784320693,TotalMiracle50,99000027783,TotalMiracle50,"JKeratin Total Miracle маска для гладкости волос, 50 мл",103584757743,"JKeratin Total Miracle 10 в 1 маска универсальная для волос, 50 мл",Нет,"271713205 | Маска Total Miracle 10 in 1, 50 мл | Домашка | TotalMiracle50 | Total Miracle Маска-концентрат 50 мл | JKeratin Total Miracle маска для гладкости волос, 50 мл | 103584757743 | JKeratin Total Miracle 10 в 1 маска универсальная для волос, 50 мл"
101,271713206,"Маска Total Miracle 10 in 1, 200 мл",Домашка,TotalMiracle200,Total Miracle Маска-концентрат 200 мл,4657784320648,4657784320648,4657784320648,4657784320648,4657784320648,4657784320648,TotalMiracle200,99000027781,TotalMiracle200,"JKeratin Total Miracle маска для гладкости волос, 200 мл",103584748404,"JKeratin Total Miracle 10 в 1 маска универсальная для волос, 200 мл",Нет,"271713206 | Маска Total Miracle 10 in 1, 200 мл | Домашка | TotalMiracle200 | Total Miracle Маска-концентрат 200 мл | JKeratin Total Miracle маска для гладкости волос, 200 мл | 103584748404 | JKeratin Total Miracle 10 в 1 маска универсальная для волос, 200 мл"
102,,"Маска Total Miracle 10 in 1, 700 мл",Домашка,TotalMiracle_700,Total Miracle Маска-концентрат 700 мл,4640468910679,4640468910679,4640468910679,4640468910679,4640468910679,4640468910679,TotalMiracle_700,,TotalMiracle201,,,,Да,"Маска Total Miracle 10 in 1, 700 мл | Домашка | TotalMiracle_700 | Total Miracle Маска-концентрат 700 мл"
103,230709601,"НАБОР Activator (2*200 мл):Color Treatment, Extra Gloss",Активатор,ColorTreatment_ExtraGloss2x200,НАБОР ActivatorExtra Gloss + Treatment,4657784320624,4657784320624,4657784320624,,4657784320624,4657784320624,ColorTreatment_ExtraGloss2x200,,ColorTreatment_ExtraGloss2x200,JKeratin Активаторы в кератин блеск и сохранения цвета волос,,,Нет,"230709601 | НАБОР Activator (2*200 мл):Color Treatment, Extra Gloss | Активатор | ColorTreatment_ExtraGloss2x200 | НАБОР ActivatorExtra Gloss + Treatment | JKeratin Активаторы в кератин блеск и сохранения цвета волос"
104,29292709,Activator Keratin AID 75 мл,Активатор,KeratinAid75,Activator Keratin AID 75 мл,4620758270928,4620758270928,4620758270928,4620758270928,4620758270928,4620758270928,KeratinAid75,,KeratinAid75,JKeratin Keratin Aid нейтрализует запах и дым от кератина,103201615216,Keratin Aid - капли для нейтрализации запаха и дыма во время проведения кератинового выпрямления волос,Нет,29292709 | Activator Keratin AID 75 мл | Активатор | KeratinAid75 | Activator Keratin AID 75 мл | JKeratin Keratin Aid нейтрализует запах и дым от кератина | 103201615216 | Keratin Aid - капли для нейтрализации запаха и дыма во время проведения кератинового выпрямления волос
